,new_customer_id
0,12352.0
1,12359.0
2,12370.0
3,12380.0
4,12388.0
5,12393.0
6,12395.0
7,12407.0
8,12408.0
9,12415.0
10,12421.0
11,12428.0
12,12431.0
13,12432.0
14,12444.0
15,12449.0
16,12457.0
17,12463.0
18,12472.0
19,12473.0
20,12474.0
21,12476.0
22,12477.0
23,12480.0
24,12481.0
25,12483.0
26,12484.0
27,12494.0
28,12500.0
29,12517.0
30,12523.0
31,12530.0
32,12539.0
33,12540.0
34,12557.0
35,12567.0
36,12576.0
37,12594.0
38,12597.0
39,12599.0
40,12600.0
41,12610.0
42,12613.0
43,12619.0
44,12626.0
45,12633.0
46,12637.0
47,12645.0
48,12647.0
49,12656.0
50,12674.0
51,12676.0
52,12678.0
53,12679.0
54,12681.0
55,12685.0
56,12691.0
57,12705.0
58,12708.0
59,12709.0
60,12712.0
61,12721.0
62,12726.0
63,12728.0
64,12731.0
65,12744.0
66,12753.0
67,12757.0
68,12775.0
69,12778.0
70,12779.0
71,12830.0
72,12836.0
73,12843.0
74,12867.0
75,12883.0
76,12909.0
77,12910.0
78,12928.0
79,12931.0
80,12936.0
81,12937.0
82,12939.0
83,12948.0
84,12949.0
85,12993.0
86,12997.0
87,13015.0
88,13018.0
89,13047.0
90,13048.0
91,13050.0
92,13092.0
93,13094.0
94,13097.0
95,13107.0
96,13110.0
97,13117.0
98,13118.0
99,13136.0
100,13138.0
101,13139.0
102,13145.0
103,13148.0
104,13149.0
105,13155.0
106,13157.0
107,13167.0
108,13168.0
109,13178.0
110,13184.0
111,13200.0
112,13208.0
113,13209.0
114,13213.0
115,13238.0
116,13246.0
117,13247.0
118,13265.0
119,13268.0
120,13277.0
121,13285.0
122,13313.0
123,13316.0
124,13317.0
125,13324.0
126,13327.0
127,13340.0
128,13381.0
129,13384.0
130,13410.0
131,13437.0
132,13448.0
133,13450.0
134,13451.0
135,13456.0
136,13477.0
137,13481.0
138,13488.0
139,13491.0
140,13499.0
141,13520.0
142,13523.0
143,13524.0
144,13527.0
145,13538.0
146,13549.0
147,13552.0
148,13575.0
149,13577.0
150,13588.0
151,13592.0
152,13614.0
153,13623.0
154,13627.0
155,13629.0
156,13632.0
157,13634.0
158,13636.0
159,13644.0
160,13650.0
161,13654.0
162,13681.0
163,13695.0
164,13700.0
165,13717.0
166,13719.0
167,13725.0
168,13728.0
169,13735.0
170,13742.0
171,13750.0
172,13771.0
173,13804.0
174,13813.0
175,13815.0
176,13824.0
177,13831.0
178,13835.0
179,13842.0
180,13862.0
181,13865.0
182,13871.0
183,13875.0
184,13880.0
185,13892.0
186,13895.0
187,13901.0
188,13911.0
189,13940.0
190,13941.0
191,13971.0
192,13975.0
193,13982.0
194,13983.0
195,13984.0
196,13988.0
197,13993.0
198,13995.0
199,14004.0
200,14030.0
201,14035.0
202,14040.0
203,14044.0
204,14049.0
205,14057.0
206,14064.0
207,14077.0
208,14099.0
209,14107.0
210,14111.0
211,14112.0
212,14116.0
213,14145.0
214,14159.0
215,14167.0
216,14188.0
217,14198.0
218,14201.0
219,14211.0
220,14214.0
221,14221.0
222,14226.0
223,14227.0
224,14232.0
225,14233.0
226,14234.0
227,14239.0
228,14257.0
229,14273.0
230,14285.0
231,14297.0
232,14312.0
233,14315.0
234,14329.0
235,14334.0
236,14336.0
237,14341.0
238,14342.0
239,14360.0
240,14404.0
241,14409.0
242,14426.0
243,14434.0
244,14443.0
